epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.686,3.38521,4.97725,3.02451,0.00467,0.2914,0.09007,0.04487,3.31025,7.25016,3.14206,0.06931,0.00031,0.00031
2,299.129,3.35473,4.34262,3.05689,0.48068,0.18434,0.22403,0.11395,3.13896,5.73642,2.9283,0.0376092,0.00060921,0.00060921
3,439.073,3.5414,4.23828,3.10987,0.5462,0.18449,0.23577,0.12178,3.48207,5.30621,3.26001,0.0058873,0.0008873,0.0008873
4,576.477,3.51821,4.20435,3.10238,0.37412,0.32495,0.27966,0.13718,3.76439,5.50287,3.60895,0.000901,0.000901,0.000901
5,715.146,3.57538,4.18103,3.19154,0.38943,0.39623,0.29279,0.13275,3.56073,4.62725,3.46773,0.000868,0.000868,0.000868
6,854.322,3.59248,4.18876,3.15571,0.35829,0.33124,0.25485,0.11999,3.50012,4.87549,3.43888,0.000835,0.000835,0.000835
7,988.183,3.46865,4.09364,3.14197,0.40067,0.37317,0.32504,0.16198,3.49941,4.31315,3.24959,0.000802,0.000802,0.000802
8,1146.41,3.45789,3.93287,3.10414,0.44528,0.43606,0.38158,0.18498,3.34031,4.88864,3.11893,0.000769,0.000769,0.000769
9,1281.55,3.45203,3.94108,3.02719,0.45713,0.38155,0.34678,0.18058,3.10181,4.17283,2.92244,0.000736,0.000736,0.000736
10,1426.16,3.37783,3.88664,3.05953,0.49068,0.38784,0.36255,0.1884,3.2224,4.14105,3.07563,0.000703,0.000703,0.000703
11,1592.47,3.31336,3.74732,3.02387,0.50038,0.41153,0.40102,0.19909,3.21219,3.83615,3.00442,0.00067,0.00067,0.00067
12,1739.46,3.2954,3.80158,3.02847,0.46262,0.37359,0.38891,0.19679,3.27447,3.96613,3.04944,0.000637,0.000637,0.000637
13,1864.37,3.24145,3.70673,2.97772,0.4853,0.40461,0.4068,0.21251,3.23521,3.72955,2.92342,0.000604,0.000604,0.000604
14,1991.59,3.18068,3.61116,2.93546,0.57312,0.43187,0.47646,0.2642,3.24269,3.348,2.93263,0.000571,0.000571,0.000571
15,2136.62,3.29428,3.55959,2.92634,0.49686,0.4717,0.47059,0.24843,2.94089,3.3426,2.65943,0.000538,0.000538,0.000538
16,2288.59,3.19638,3.53883,2.91129,0.56429,0.42356,0.46562,0.26634,2.9316,3.4488,2.69749,0.000505,0.000505,0.000505
17,2422.15,3.20306,3.54895,2.90146,0.57414,0.44025,0.49023,0.2674,3.13324,3.29119,2.82632,0.000472,0.000472,0.000472
18,2549.9,3.12166,3.41462,2.8533,0.57632,0.43396,0.48631,0.2639,3.05147,3.32878,2.72437,0.000439,0.000439,0.000439
19,2686.93,3.13415,3.44149,2.85804,0.52284,0.48428,0.50268,0.26918,3.05334,3.15912,2.73773,0.000406,0.000406,0.000406
20,2812.61,3.10078,3.32582,2.79656,0.59414,0.45073,0.49875,0.27325,2.95517,3.16647,2.67822,0.000373,0.000373,0.000373
21,2931.41,2.59265,3.0204,2.4555,0.59,0.39823,0.46959,0.25408,2.96558,3.52875,2.67062,0.00034,0.00034,0.00034
22,3074.82,2.59233,2.79019,2.4995,0.60159,0.44444,0.4946,0.27231,3.02309,3.35654,2.72939,0.000307,0.000307,0.000307
23,3229.65,2.54788,2.62234,2.43361,0.64964,0.45912,0.52535,0.28357,2.90396,3.13548,2.67667,0.000274,0.000274,0.000274
24,3349.91,2.56156,2.62764,2.44607,0.6395,0.46541,0.53685,0.29762,2.85469,3.03335,2.63631,0.000241,0.000241,0.000241
25,3467.1,2.41332,2.44416,2.36659,0.63284,0.46751,0.53628,0.29587,2.85098,3.15203,2.64414,0.000208,0.000208,0.000208
26,3584.57,2.35003,2.45196,2.37611,0.59427,0.4698,0.5141,0.28782,2.85019,3.11755,2.59143,0.000175,0.000175,0.000175
27,3703.68,2.41946,2.32491,2.33121,0.57654,0.50943,0.53369,0.29874,2.83041,2.95367,2.58627,0.000142,0.000142,0.000142
28,3822.15,2.36181,2.33704,2.32053,0.61801,0.49057,0.54367,0.30388,2.80584,2.8615,2.54162,0.000109,0.000109,0.000109
29,3941.01,2.23815,2.23371,2.2973,0.63612,0.47277,0.54851,0.30652,2.84266,2.86349,2.57878,7.6e-05,7.6e-05,7.6e-05
30,4061.23,2.30129,2.19138,2.26856,0.58892,0.51363,0.55419,0.30932,2.81646,2.87111,2.57363,4.3e-05,4.3e-05,4.3e-05
